Source Text,Translated Text
ERPNext Settings,Pressply Suite Settings
ERPNext Setting,Pressply Suite Settings
ERPNext Integrations,Pressply Suite Integrations
ERPNext Integration,Pressply Suite Integrations
ERPNext,Pressply Suite
Frappe,Pressply Suite
Frappe Framework,Pressply Suite
Powered by ERPNext,Powered by Pressply Suite
Powered by Frappe,Powered by Pressply Suite
Powered by the Frappe Framework,Powered by Pressply Suite
Login to Frappe,Login to Pressply Suite
Create a Frappe Account,Create a Pressply Suite Account 
